buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,clean,clean,clean,0.693147,1.098612,1.609438,0.799492,0.353814,0.036076,4.816241,0,0.693147,3.437208,0.405465,4.477337,4.414494,4.158883
clean,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.005659,0.003399,6.782192,1,1.098612,1.937302,2.397895,4.488636,4.426522,4.174387
buggy,buggy,buggy,buggy,0.693147,0.693147,1.386294,0.890439,0.043894,0.029216,6.033086,1,1.098612,2.045109,2.037317,4.49981,4.438407,4.189655
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.006659,0.002225,6.109248,1,1.098612,0,2.302585,4.51086,4.450152,4.204693
buggy,buggy,buggy,buggy,0.693147,1.098612,1.386294,0.629027,0.113329,0.046318,5.420535,0,1.098612,3.413455,0.982078,4.521789,4.459566,4.219508
buggy,buggy,buggy,buggy,0.693147,0.693147,1.098612,0.573593,0.048949,0.013289,6.108136,1,1.098612,1.94591,1.871802,4.532599,4.461069,4.234107
buggy,buggy,buggy,buggy,1.098612,1.098612,1.098612,0.672287,0.04422,0.010582,5.241747,1,0.693147,3.429137,1.609438,4.543295,4.470266,4.406719
clean,clean,buggy,clean,0.693147,0.693147,0.693147,0,0.00787,0.011223,6.787845,0,0.693147,2.771338,1.609438,4.553877,4.481193,4.26268
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.017452,0.010508,5.652489,1,0.693147,3.693369,1.609438,4.564348,4.492449,4.276666
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.087011,0.087011,2.484907,0,0.693147,3.091951,1.098612,4.574711,4.50347,2.564949
buggy,buggy,buggy,buggy,0.693147,0.693147,1.098612,0.555314,0.023291,0.004409,5.830415,0,1.098612,2.017566,1.252763,4.584967,4.514479,4.290459
clean,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.002215,0,6.113682,0,1.098612,1.941615,2.397895,4.59512,4.525261,4.304065
buggy,clean,buggy,buggy,0.693147,0.693147,1.098612,0.603253,0.026226,0.005579,5.881929,1,0.693147,2.910174,2.079442,4.60517,4.533889,4.317488
clean,clean,clean,clean,1.098612,1.098612,1.386294,0,0,0,0,0,0.693147,3.553918,0.512824,4.615121,4.544252,4.418841
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.685734,0.010017,0.005577,6.104793,1,1.098612,1.757858,2.014903,4.624973,4.552824,4.49981
buggy,buggy,buggy,buggy,0.693147,2.079442,2.833213,1.438899,0.113138,0.007361,5.471766,1,1.098612,2.833801,1.217876,4.634729,4.563202,4.356709
buggy,buggy,buggy,buggy,0.693147,1.098612,1.098612,0.576248,0.054541,0.021783,6.215608,1,0.693147,2.256541,1.871802,4.644391,4.573473,4.369448
buggy,clean,clean,clean,0.693147,1.386294,2.079442,1.209587,0.031588,0.012121,5.409725,0,1.098612,2.577942,1.581038,4.65396,4.583436,4.382027
buggy,buggy,buggy,buggy,0.693147,0.693147,1.94591,0.990325,0.083864,0.017938,4.714025,0,0.693147,3.422633,0.845868,4.663439,4.593401,4.394449
buggy,buggy,buggy,buggy,0.693147,1.386294,1.609438,0.91876,0.03533,0.006892,5.893024,1,1.098612,2.853593,1.704748,4.672829,4.591578,4.406719
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.006557,0,5.030438,0,0.693147,3.295096,2.197225,4.682131,4.601664,2.70805
clean,clean,clean,clean,0.693147,1.098612,1.098612,0.651437,0.008163,0.008163,5.214936,0,1.098612,1.821318,1.386294,4.691348,4.611152,4.418841
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002073,0.002073,6.180017,0,0.693147,2.993229,2.079442,4.70048,4.620945,4.430817
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.006515,0.006515,5.036953,0,0.693147,0.223144,2.302585,4.70953,4.63074,2.772589
buggy,buggy,buggy,buggy,1.098612,1.098612,1.098612,0.044536,1.590968,0,4.350278,0,0.693147,0.336472,1.791759,0.693147,0.662688,0.693147
buggy,buggy,buggy,clean,0.693147,0.693147,1.386294,0.941826,0.162859,0.05782,5.283204,0,1.098612,1.386294,1.465568,4.718499,4.638121,4.442651
buggy,buggy,buggy,buggy,1.098612,1.609438,1.791759,0.624965,0.05923,0.02342,5.824819,0,0.693147,3.301377,1.335001,4.727388,4.647655,4.59512
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.00453,0.006787,6.782192,1,1.098612,2.081938,2.564949,4.736198,4.655103,4.465908
buggy,buggy,buggy,clean,0.693147,0.693147,0.693147,0,0.029072,0.017544,5.828946,1,1.098612,0.625938,2.197225,4.744932,4.664571,4.477337
clean,clean,buggy,buggy,0.693147,1.098612,1.098612,0.582495,0.171472,0.024868,4.941642,1,0.693147,3.912823,1.252763,4.75359,4.673856,4.488636
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.080043,0.154151,4.110874,1,0.693147,3.91442,1.386294,4.762174,4.683149,4.49981
clean,clean,clean,clean,0.693147,1.098612,2.079442,1.284256,0.044924,0.111679,4.194039,0,0.693147,3.788046,0.620576,4.770685,4.692082,4.51086
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,2.944439,0,0,0,0,0,0,4.779123,4.701207,4.521789
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.02472,0.066031,6.779922,1,1.098612,0.14842,2.639057,4.787492,4.710251,4.532599
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.02752,0.013304,6.799056,1,0.693147,2.099244,2.302585,4.795791,4.719034,4.543295
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.001493,0.001493,7.200425,1,1.098612,3.089678,2.302585,4.804021,4.727919,4.553877
clean,clean,clean,clean,0.693147,0.693147,1.098612,0.521194,0.006926,0.002603,6.356975,0,1.098612,1.413423,1.871802,4.812184,4.73453,4.564348
buggy,buggy,buggy,clean,0.693147,0.693147,0.693147,0,0.00127,0.00127,6.669498,0,1.098612,3.165897,1.94591,4.820282,4.741099,4.574711
buggy,buggy,buggy,buggy,0.693147,0.693147,0.693147,0,0.007109,0.001188,6.73578,0,1.098612,1.036737,2.70805,4.828314,4.74979,4.584967
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.133531,0.133531,2.079442,0,0.693147,4.124227,0.693147,4.836282,4.75832,2.772589
buggy,buggy,buggy,buggy,0.693147,1.609438,2.079442,1.223958,0.013732,0.003562,5.772344,0,1.098612,2.61374,1.609438,4.844187,4.766779,4.59512
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,4.85203,4.77525,0
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002878,0.002878,5.852202,0,0.693147,2.99373,2.70805,4.859812,4.783651,2.833213
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,4.867534,4.791982,0
clean,clean,clean,clean,1.098612,1.098612,2.397895,0.718123,0.088655,0.056959,5.125154,0,0.693147,3.382694,0.405465,4.875197,4.800161,4.682131
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,2.639057,0,0,0,0,0,0,4.882802,4.805905,2.890372
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.064539,0.064539,2.772589,0,0.693147,4.14091,0.693147,4.890349,4.814053,2.944439
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.002878,0.002878,5.852202,0,0.693147,3.043093,2.70805,4.89784,4.822135,2.995732
buggy,clean,clean,clean,0.693147,0.693147,0.693147,0,0.847298,0.154151,2.944439,0,0.693147,1.752672,0.693147,4.905275,4.82543,4.615121
clean,clean,clean,clean,0.693147,0.693147,0.693147,0,0.207639,0.074108,2.639057,0,0.693147,1.068153,0.693147,4.912655,4.833341,3.044522
clean,clean,clean,clean,1.098612,1.098612,1.098612,0.651437,0.013072,0.002628,5.252273,1,0.693147,0.97456,2.302585,4.919981,4.840796,4.812184
buggy,buggy,buggy,buggy,0.693147,0.693147,1.098612,0.638464,0.038256,0.040933,5.886104,0,1.098612,2.760643,2.079442,4.927254,4.841506,4.634729
