buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
clean,clean,clean,clean,1,1,1,0,30,1,262,0,2,73.75,11,75,58.53,71
clean,clean,clean,clean,1,1,1,0,10,5,291,0,2,3.77,12,76,59.04,72
clean,buggy,buggy,clean,2,8,11,2.90004,33,53,229.09,0,5,6.18,1.73,77,60.04,81
clean,clean,clean,clean,1,1,1,0,229,0,0,0,0,0,0,62,51.21,17
clean,clean,clean,clean,1,1,1,0,1,1,115,0,3,11.25,5,63,52.2,18
clean,clean,clean,clean,1,1,1,0,19,1,302,0,3,13.9,15,64,53.2,19
clean,clean,clean,clean,1,1,1,0,3,2,120,1,2,11.31,4,65,54.2,20
clean,clean,clean,clean,1,1,2,0.721928,9,1,77.5,0,2,42.25,4,66,55.2,21
clean,clean,clean,clean,1,2,2,0.6987,36,17,139.5,0,1,69.15,3,78,60.6,74
clean,clean,clean,clean,1,1,1,0,1,1,84,0,3,11.42,6,67,56.18,22
clean,clean,clean,clean,1,1,1,0,2,2,320,0,3,0.13,16,68,57.18,23
buggy,clean,clean,clean,1,5,8,2.83855,21,21,167.38,0,2,6.41,1,69,58.17,24
clean,clean,clean,clean,1,1,1,0,2,2,317,0,2,4.29,8,70,59.06,25
clean,clean,clean,clean,1,1,1,0,2,2,204,0,2,4.32,8,71,60.05,24
clean,clean,clean,clean,1,1,1,0,1,1,204,0,2,0.02,9,72,61.05,25
clean,clean,clean,clean,1,1,1,0,20,11,131,1,2,4.41,8,73,62.04,26
clean,clean,clean,clean,1,1,1,0,2,2,140,0,2,0,9,74,63.04,27
clean,clean,clean,clean,1,1,1,0,7,2,218,0,1,1.64,7,79,61.38,75
clean,clean,clean,clean,1,1,2,0.992184,63,62,362.5,0,1,14.16,2.5,80,62.36,76
clean,clean,clean,clean,1,1,1,0,1,1,74,0,2,9.66,5,75,63.84,28
buggy,clean,clean,clean,1,6,22,3.93829,94,94,137.27,0,2,56.69,1,81,63.25,77
clean,clean,clean,clean,1,7,12,1.66916,484,29,229.92,0,1,40.05,1.83,82,64.07,78
clean,clean,clean,clean,1,1,1,0,5,1,42,0,1,180.89,1,3,2.37,2
clean,clean,clean,clean,1,1,1,0,1,1,153,0,1,3.39,9,4,3.37,3
clean,clean,clean,clean,1,3,11,3.08352,42,64,251.36,0,1,31.27,1.91,83,64.68,79
