buggy_B2,buggy_AG,buggy_MA,buggy_RA,ns,nd,nf,entropy,la,ld,lt,fix,ndev,age,nuc,exp,rexp,sexp
buggy,buggy,buggy,buggy,3,4,4,0.270192,318,253,541.5,1,7,36.14,30.75,42,32.76,99
clean,clean,clean,clean,3,4,4,0.284757,319,253,534.75,1,7,36.64,29.25,43,33.76,102
clean,clean,clean,clean,3,4,4,0.270192,318,253,538.5,1,7,36.14,30.5,44,34.76,105
clean,clean,clean,clean,1,1,2,0.985228,4,3,880,0,7,0.9,63,81,66.07,57
clean,clean,clean,clean,1,1,2,0.918296,3,3,874,0,7,0.89,63,82,67.07,58
clean,clean,clean,clean,3,5,6,1.7659,63,16,305.17,1,7,6.36,20.5,83,68.01,120
clean,clean,clean,clean,3,5,6,1.7659,63,16,307.33,1,7,6.84,20.67,84,68.93,123
buggy,buggy,buggy,clean,3,4,4,1.37088,24,2,932.75,1,7,14.99,31.25,36,26.83,64
clean,clean,clean,clean,2,2,2,0.672295,4,13,609.5,1,7,7.58,63,37,27.81,53
clean,clean,clean,clean,3,4,4,0.498494,91,11,2477.25,0,7,65.66,31.75,45,35.6,108
clean,clean,clean,clean,3,6,9,2.35333,99,18,351.67,1,7,17.48,13.44,85,69.71,126
buggy,clean,buggy,buggy,3,4,4,1.59516,71,0,749.75,0,7,62.96,32,26,22.69,65
clean,clean,clean,clean,1,1,1,0,3,3,925,0,5,4.86,22,86,70.29,62
clean,clean,clean,clean,1,1,1,0,3,3,925,0,5,4.86,22,87,71.29,63
clean,clean,clean,clean,3,3,4,1.15378,145,3,1218.5,0,7,41.76,32.25,46,36.3,111
buggy,buggy,buggy,buggy,2,2,3,1.33527,36,1,367.33,1,3,167.06,1,47,37.22,76
buggy,clean,clean,clean,1,1,1,0,3,1,111,1,3,6.72,3,48,38.05,45
clean,clean,clean,clean,1,3,3,0.299812,297,2,436,0,2,23.05,0.67,1,0.94,1
clean,clean,clean,clean,1,1,1,0,1,1,813,0,7,6.65,118,88,71.62,64
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,89,72.62,0
clean,clean,clean,clean,0,0,0,0,0,0,0,0,0,0,0,90,73.62,0
clean,clean,clean,clean,1,1,3,0,0,0,0,0,0,0,0,38,28.23,25
clean,clean,clean,clean,2,3,5,1.39464,250,4,355,0,7,2.9,26.8,91,74.07,88
clean,clean,clean,clean,2,3,5,1.37571,249,4,350,0,7,3.8,25.8,92,75.07,90
buggy,buggy,buggy,buggy,2,2,2,0.276195,40,2,643.5,0,7,11.45,65.5,27,23.18,51
buggy,buggy,buggy,buggy,3,5,6,1.2927,863,67,278.17,0,7,48.71,22.17,28,24.07,70
clean,clean,clean,clean,3,3,6,2.14046,43,47,1429.67,1,7,45.49,22.17,29,25.07,73
buggy,buggy,buggy,buggy,3,4,4,1.09287,303,5,508,0,7,68.98,33.5,93,75.02,136
clean,clean,clean,clean,3,3,3,1.08349,149,15,1227.67,0,7,54.18,45,49,38.11,117
clean,clean,clean,clean,2,2,3,1.44882,14,0,729.33,0,7,14.61,46,30,25.69,57
buggy,buggy,buggy,buggy,1,1,1,0,4,6,471,0,5,7.97,13,31,26.69,29
buggy,clean,clean,clean,1,6,25,3.02974,867,688,475.84,0,2,53.84,0.12,2,1.87,2
